fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Symbol
2020-11-30,USD,1195000000,1118000000,None,1499000000,1448000000,475000000,431000000,259000000,1225000000,-299000000,-259000000,-352000000,-347000000,110000000,110000000,None,405000000,405000000,None,None,3310000000,None,-106000000,None,584000000,None,-308000000,WBA
2020-08-31,USD,2086000000,1480000000,None,842000000,-222000000,480000000,412000000,-22000000,-290000000,356000000,-637000000,-1649000000,-357000000,215000000,215000000,None,487000000,487000000,None,None,4031000000,None,-200000000,None,6756000000,None,373000000,WBA
2020-05-31,USD,914000000,437000000,None,-316000000,-483000000,477000000,257000000,-465000000,-15000000,-1726000000,-43000000,-913000000,851000000,461000000,461000000,None,403000000,403000000,None,None,6476000000,None,-449000000,None,-1220000000,None,-1708000000,WBA
2020-02-29,USD,1423000000,1451000000,None,-752000000,-710000000,492000000,318000000,208000000,-857000000,952000000,-215000000,-1219000000,-263000000,440000000,440000000,None,447000000,447000000,None,None,4788000000,None,-426000000,None,1472000000,None,946000000,WBA
2019-11-30,USD,1061000000,1179000000,None,972000000,1220000000,477000000,387000000,116000000,1099000000,842000000,-402000000,-866000000,-392000000,473000000,473000000,None,410000000,410000000,None,None,5072000000,None,-459000000,None,-207000000,None,845000000,WBA
2019-08-31,USD,2379000000,416000000,None,543000000,-404000000,526000000,456000000,59000000,-495000000,687000000,-738000000,-1474000000,237000000,434000000,434000000,None,399000000,399000000,None,None,2142000000,None,-416000000,None,7228000000,None,677000000,WBA
2019-05-31,USD,2020000000,279000000,None,-37000000,-618000000,522000000,453000000,-434000000,-203000000,1037000000,-523000000,-1458000000,-37000000,613000000,613000000,None,403000000,403000000,None,None,3877000000,None,-595000000,None,1588000000,None,1025000000,WBA
2019-02-28,USD,735000000,817000000,None,-1282000000,-240000000,499000000,323000000,649000000,-867000000,1138000000,-411000000,-505000000,-731000000,2201000000,2201000000,None,419000000,419000000,None,None,5329000000,None,-2164000000,None,1645000000,None,1156000000,WBA
2018-11-30,USD,460000000,298000000,None,796000000,2022000000,490000000,470000000,515000000,1424000000,1100000000,-635000000,390000000,1067000000,912000000,912000000,None,422000000,422000000,None,None,1085000000,None,-811000000,None,215000000,None,1123000000,WBA
2018-08-31,USD,2817000000,665000000,None,710000000,-454000000,470000000,384000000,-371000000,-101000000,1514000000,-390000000,-3512000000,-10000000,2703000000,2703000000,None,448000000,448000000,None,None,857000000,None,-2647000000,None,-1033000000,-11000000,1512000000,WBA
2018-05-31,USD,2238000000,296000000,None,-292000000,-481000000,442000000,317000000,125000000,-544000000,1346000000,-955000000,-1167000000,-240000000,0,0,None,476000000,476000000,None,None,1954000000,None,35000000,None,69000000,-18000000,1342000000,WBA
2018-02-28,USD,2205000000,320000000,None,561000000,-517000000,442000000,288000000,275000000,-704000000,1349000000,-3557000000,1241000000,-190000000,0,0,None,402000000,402000000,None,None,2979000000,None,51000000,None,-81000000,20000000,1349000000,WBA
2017-11-30,USD,1003000000,262000000,None,1044000000,1534000000,416000000,378000000,362000000,1018000000,822000000,-599000000,-1857000000,1026000000,2525000000,2525000000,None,413000000,413000000,None,None,110000000,None,-2493000000,None,-1471000000,24000000,821000000,WBA
2017-08-31,USD,2018000000,769000000,None,1101000000,183000000,410000000,439000000,0,161000000,807000000,-391000000,-10601000000,-244000000,3763000000,3763000000,None,495000000,495000000,None,None,0,None,-3720000000,None,-8952000000,26000000,802000000,WBA
2017-05-31,USD,-2198000000,500000000,None,-228000000,-429000000,413000000,273000000,342000000,-766000000,1165000000,-255000000,-1211000000,201000000,1000000000,1000000000,None,411000000,411000000,None,None,0,None,-942000000,None,431000000,42000000,1162000000,WBA
2017-02-28,USD,1879000000,603000000,None,80000000,-1397000000,413000000,261000000,-448000000,-823000000,1062000000,-286000000,-344000000,27000000,0,0,None,411000000,411000000,None,None,0,None,75000000,None,2224000000,-3000000,1060000000,WBA
2021-09-30,USD,2635000000,None,None,None,None,1275000000,1110000000,56000000,-16000000,255000000,-1086000000,-1614000000,0,None,None,None,None,0,None,None,0,None,0,None,-38000000,30000000,159000000,DIS
2021-06-30,USD,2547000000,None,None,None,None,1266000000,938000000,264000000,-61000000,1123000000,-754000000,-530000000,0,None,None,None,None,0,None,None,0,None,0,None,2547000000,None,918000000,DIS
2021-03-31,USD,2519000000,None,None,None,None,1272000000,770000000,-1287000000,-81000000,1111000000,-591000000,-1908000000,0,0,None,None,None,None,None,None,0,None,0,None,2519000000,None,901000000,DIS
2020-12-31,USD,84000000,None,None,None,None,1298000000,760000000,1324000000,-94000000,18000000,-732000000,-333000000,None,None,None,None,None,None,None,None,None,None,209000000,None,-990000000,None,17000000,DIS
2020-09-30,USD,9163000000,2504000000,None,-554000000,-1486000000,1335000000,729000000,157000000,72000000,-629000000,-515000000,-6439000000,None,0,None,None,0,0,None,None,90000000,None,67000000,None,2262000000,38000000,-710000000,DIS
2020-06-30,USD,-3178000000,185000000,None,-891000000,-912000000,1377000000,708000000,-1272000000,-16000000,-4512000000,-714000000,8303000000,-1765000000,None,None,None,0,0,None,None,11959000000,None,31000000,None,-3183000000,None,-4721000000,DIS
2020-03-31,USD,1710000000,274000000,None,97000000,-1252000000,1334000000,1247000000,-2252000000,11000000,520000000,-1058000000,5499000000,1966000000,None,None,None,1587000000,1587000000,None,None,6020000000,None,81000000,None,1694000000,None,460000000,DIS
2019-12-31,USD,3439000000,229000000,None,-1097000000,1453000000,1299000000,1338000000,1424000000,-81000000,2147000000,-1350000000,1117000000,1172000000,None,None,None,None,None,None,None,51000000,None,126000000,None,3187000000,None,2107000000,DIS
2019-09-30,USD,1205000000,None,None,-379000000,-1237000000,1301000000,1309000000,-1483000000,127000000,1205000000,9667000000,-1110000000,1345000000,0,None,None,1585000000,1585000000,None,None,6892000000,None,40000000,None,1205000000,None,1054000000,DIS
2019-06-30,USD,3421000000,None,None,None,None,1306000000,1177000000,1042000000,77000000,1982000000,-13785000000,-12676000000,None,0,None,None,1310000000,1310000000,None,None,None,None,195000000,None,3421000000,None,1760000000,DIS
2019-03-31,USD,3915000000,None,None,None,None,828000000,1195000000,-692000000,51000000,5611000000,-1102000000,13107000000,None,0,None,None,1585000000,1585000000,None,None,None,None,83000000,None,None,None,5452000000,DIS
2018-12-31,USD,2099000000,None,None,None,None,732000000,1195000000,1078000000,-32000000,2786000000,-1336000000,-411000000,None,None,None,None,1585000000,1585000000,None,None,None,None,37000000,None,None,None,2788000000,DIS
2018-09-30,USD,3853000000,None,None,None,None,794000000,1201000000,-458000000,70000000,2419000000,-193000000,-3862000000,None,None,None,None,1249000000,1249000000,None,None,None,None,None,None,None,None,2322000000,DIS
2018-06-30,USD,3679000000,None,None,None,None,744000000,1220000000,174000000,11000000,3059000000,-1338000000,-2099000000,None,969000000,None,None,1249000000,1249000000,None,None,None,None,-969000000,None,None,None,2916000000,DIS
2018-03-31,USD,4526000000,None,None,None,None,731000000,1063000000,None,-1000000,3115000000,-2762000000,-2298000000,None,None,None,None,1266000000,1266000000,None,None,None,None,-1295000000,None,None,None,2937000000,DIS
2021-09-30,USD,1184000000,None,None,10000000,-10000000,517000000,464000000,-32000000,None,539000000,-398000000,-876000000,0,500000000,500000000,None,241000000,241000000,None,None,4721000000,None,-481000000,None,1066000000,None,538000000,WM
2021-06-30,USD,1043000000,None,None,215000000,19000000,500000000,396000000,-223000000,None,351000000,-374000000,-980000000,0,250000000,250000000,None,242000000,242000000,None,None,0,None,-226000000,None,851000000,None,351000000,WM
2021-03-31,USD,1120000000,None,None,-2000000,-6000000,472000000,270000000,199000000,None,421000000,-334000000,-830000000,-280000000,250000000,250000000,None,247000000,247000000,None,None,0,None,-233000000,None,-44000000,None,421000000,WM
2020-12-31,USD,753000000,None,None,28000000,-69000000,436000000,394000000,-255000000,None,438000000,-3606000000,2685000000,1211000000,0,0,None,231000000,231000000,None,None,5559000000,None,14000000,None,-168000000,None,438000000,WM
2020-09-30,USD,1029000000,None,None,103000000,19000000,419000000,343000000,-109000000,None,390000000,-323000000,-2669000000,0,0,0,None,230000000,230000000,None,None,0,None,7000000,None,809000000,None,390000000,WM
2020-06-30,USD,856000000,None,None,-48000000,-22000000,414000000,436000000,58000000,None,307000000,-415000000,-907000000,0,0,0,None,230000000,230000000,None,None,0,None,11000000,None,721000000,None,307000000,WM
2020-03-31,USD,765000000,None,None,-123000000,9000000,402000000,459000000,127000000,None,361000000,-503000000,-668000000,0,402000000,402000000,None,236000000,236000000,None,None,0,None,-371000000,None,-406000000,None,361000000,WM
2019-12-31,USD,1022000000,418000000,None,-5000000,-32000000,395000000,286000000,-51000000,None,447000000,-280000000,-116000000,0,0,0,None,218000000,218000000,None,None,125000000,None,7000000,None,447000000,None,447000000,WM
2019-09-30,USD,952000000,22000000,None,13000000,44000000,404000000,483000000,-21000000,None,495000000,-531000000,258000000,0,0,0,None,218000000,218000000,None,None,587000000,None,15000000,None,912000000,None,495000000,WM
2019-06-30,USD,1010000000,None,None,244000000,-11000000,409000000,578000000,-193000000,None,382000000,-765000000,1780000000,-1358000000,180000000,180000000,None,217000000,217000000,None,None,0,None,-160000000,None,791000000,None,381000000,WM
2019-03-31,USD,890000000,None,None,-117000000,12000000,366000000,471000000,212000000,None,347000000,-800000000,42000000,357000000,68000000,68000000,None,223000000,223000000,None,None,0,None,-43000000,None,132000000,None,347000000,WM
2018-12-31,USD,912000000,None,None,26000000,5000000,370000000,454000000,-59000000,None,531000000,-663000000,-493000000,-70000000,254000000,254000000,None,197000000,197000000,None,None,185000000,None,-247000000,None,531000000,None,531000000,WM
2018-09-30,USD,874000000,None,None,-27000000,14000000,376000000,404000000,-159000000,None,498000000,-496000000,-368000000,80000000,200000000,200000000,None,199000000,199000000,None,None,91000000,None,-188000000,None,847000000,None,499000000,WM
2018-06-30,USD,975000000,None,None,150000000,2000000,384000000,436000000,19000000,None,499000000,-373000000,-609000000,-28000000,300000000,300000000,None,200000000,200000000,None,None,22000000,None,-290000000,None,883000000,None,499000000,WM
2018-03-31,USD,809000000,None,None,-119000000,9000000,347000000,400000000,183000000,None,395000000,-637000000,-38000000,471000000,250000000,250000000,None,206000000,206000000,None,None,61000000,None,-227000000,None,134000000,None,396000000,WM
2017-12-31,USD,792000000,None,None,16000000,-9000000,342000000,528000000,-383000000,None,903000000,-570000000,-30000000,12000000,0,0,None,184000000,184000000,None,None,1282000000,None,3000000,None,-13000000,None,903000000,WM
2017-09-30,USD,853000000,None,None,-15000000,16000000,350000000,350000000,69000000,None,388000000,-377000000,-472000000,248000000,500000000,500000000,None,185000000,185000000,None,None,111000000,None,-494000000,None,3000000,1000000,386000000,WM
2017-06-30,USD,813000000,None,None,176000000,-6000000,356000000,299000000,-108000000,None,361000000,-336000000,-474000000,43000000,0,0,None,187000000,187000000,None,None,32000000,None,-241000000,None,2000000,None,362000000,WM
2017-03-31,USD,722000000,None,None,-144000000,15000000,328000000,332000000,151000000,None,297000000,-337000000,-385000000,210000000,0,0,None,194000000,194000000,None,None,54000000,None,77000000,None,-2000000,0,298000000,WM
2016-12-31,USD,751000000,818000000,None,113000000,-11000000,313000000,377000000,-110000000,None,334000000,-379000000,-373000000,None,225000000,225000000,None,180000000,180000000,None,None,521000000,None,-219000000,None,2000000,None,335000000,WM
2021-09-30,USD,167892000,None,None,None,None,1759000,39725000,4487000,43005000,161185000,32678000,-135716000,None,151188000,0,None,None,None,None,None,0,None,0,None,161185000,None,161185000,WAT
2021-06-30,USD,143040000,None,None,None,None,1809000,44386000,11040000,20329000,167292000,-122102000,-236966000,None,168202000,0,None,None,None,None,None,0,None,0,None,167292000,None,167292000,WAT
2021-03-31,USD,218404000,None,None,-31321000,29898000,31356000,39503000,-7945000,30544000,148127000,-159004000,188775000,None,173305000,173305000,None,None,None,None,None,500000000,None,-157010000,None,248175000,None,148127000,WAT
2020-12-31,USD,267482000,None,None,101484000,77916000,2687000,47044000,59488000,-27079000,218311000,-37533000,-172534000,None,56000,56000,None,None,None,None,None,0,None,37556000,None,218311000,None,218311000,WAT
2020-09-30,USD,172579000,None,None,-7032000,-16000000,2657000,28311000,-9977000,-18950000,126769000,-34226000,-108602000,None,56000,56000,None,None,None,None,None,0,None,13626000,None,126769000,None,126769000,WAT
2020-06-30,USD,198811000,None,None,12008000,-31092000,2618000,45899000,-32952000,-2310000,122929000,-62160000,-192284000,None,71000,71000,None,None,None,None,None,0,None,2925000,None,122929000,None,122929000,WAT
2020-03-31,USD,151635000,None,None,-6587000,-22336000,29188000,51130000,-54026000,29399000,53562000,-130175000,32918000,None,196226000,196226000,None,None,None,None,None,315000000,None,-184483000,None,54378000,None,53562000,WAT
2019-12-31,USD,191895000,15843000,None,11323000,39800000,2529000,53618000,80092000,-52119000,200669000,-56639000,-211137000,None,559558000,559558000,None,None,None,None,None,325308000,None,-540154000,None,200669000,None,200669000,WAT
2019-09-30,USD,148389000,None,None,-1291000,5258000,2619000,45017000,-5389000,21773000,138133000,40378000,-366807000,None,580065000,580065000,None,None,None,None,None,599999000,None,-575883000,None,138133000,None,138133000,WAT
2019-06-30,USD,127024000,None,None,-512000,52362000,2264000,39522000,6823000,17762000,144410000,351024000,-571600000,None,576530000,576530000,None,None,None,None,None,197000,None,-574032000,None,144410000,None,144410000,WAT
2019-03-31,USD,175779000,None,None,-39647000,-15983000,24764000,25666000,-59331000,44438000,108986000,434039000,-723134000,None,753105000,753105000,None,None,None,None,None,166000,None,-725474000,None,-113316000,None,108986000,WAT
2018-12-31,USD,181549000,None,None,33196000,47457000,2337000,378000,84814000,-22430000,185152000,425584000,-493079000,None,498457000,498457000,None,None,None,None,None,264000,None,-488405000,None,185152000,None,185152000,WAT
2018-09-30,USD,146340000,None,None,2785000,19868000,2114000,27384000,-302000,13949000,141014000,51336000,-256212000,None,263505000,263505000,None,None,None,None,None,-216000,None,-255973000,None,137014000,None,141014000,WAT
2018-06-30,USD,100716000,None,None,-116871000,10436000,1602000,20839000,3997000,5776000,155677000,310543000,-364166000,None,270774000,270774000,None,None,None,None,None,145000,None,-260216000,None,155677000,None,155677000,WAT
2018-03-31,USD,175841000,None,None,26242000,1955000,28640000,15992000,-40588000,28101000,111951000,895839000,-1006065000,None,282370000,282370000,None,None,None,None,None,81000,None,-258083000,None,74203000,8588000,111951000,WAT
2017-12-31,USD,192184000,None,None,10918000,75530000,1639000,0,77371000,-26948000,-353172000,-131764000,-24375000,None,86802000,86802000,None,None,None,None,None,1350000000,None,-61834000,None,38512000,2467000,-353172000,WAT
2017-09-30,USD,154196000,None,None,36279000,542000,1682000,0,-11413000,7048000,136104000,-110136000,-17208000,None,79908000,79908000,None,None,None,None,None,45190000,None,-65269000,None,36552000,9700000,136104000,WAT
2017-06-30,USD,245703000,None,None,-38835000,7171000,1693000,17647000,-6835000,8696000,131822000,-196803000,-9922000,None,76661000,76661000,None,None,None,None,None,45000000,None,-56738000,None,-17189000,12485000,131822000,WAT
2017-03-31,USD,219438000,None,None,6339000,-19540000,1729000,17711000,-35110000,10473000,105557000,-97049000,-12364000,None,89173000,89173000,None,None,None,None,None,40000000,None,-50914000,None,78813000,14017000,105557000,WAT
2016-12-31,USD,-278776000,30681000,None,17126000,49660000,2358000,22671000,71192000,-19841000,174378000,-49244000,-35973000,None,83835000,83835000,None,None,None,None,None,45121000,None,-80218000,None,75422000,-13264000,174378000,WAT
2021-09-30,USD,780500000,74700000,None,194500000,103700000,271600000,617800000,92400000,193000000,288700000,-614100000,-156900000,84400000,4400000,4400000,None,213700000,213700000,None,None,0,None,-1900000,None,560300000,None,290300000,WEC
2021-06-30,USD,831000000,166600000,None,81700000,127200000,266200000,539500000,220400000,99200000,275700000,-533300000,-287600000,-155900000,4700000,4700000,None,213800000,213800000,None,None,418800000,None,-1900000,None,541900000,None,276300000,WEC
2021-03-31,USD,395200000,80900000,None,-183800000,-195300000,261400000,470600000,-150400000,-175100000,510300000,-541300000,163100000,-196500000,6600000,6600000,None,213700000,213700000,None,None,600000000,None,-5400000,None,17000000,None,510400000,WEC
2020-12-31,USD,246300000,272900000,None,99700000,71300000,249300000,1255600000,-246200000,-44800000,239600000,-1243700000,1008800000,1005900000,42500000,42500000,None,199500000,199500000,None,None,1563600000,None,-22000000,None,370500000,None,370500000,WEC
2020-09-30,USD,570100000,83500000,None,53300000,38700000,245000000,581500000,46900000,105700000,267100000,-556900000,-14400000,-440500000,6400000,6400000,None,199500000,199500000,None,None,700000000,None,-3400000,None,547100000,None,267100000,WEC
2020-06-30,USD,689100000,169500000,None,22300000,79500000,242500000,541100000,218900000,76600000,242100000,-543200000,-149200000,384300000,9900000,9900000,None,199500000,199500000,None,None,110000000,None,-5600000,None,516600000,None,241900000,WEC
2020-03-31,USD,690500000,89500000,None,-277800000,-224100000,239100000,496100000,-3500000,-158700000,452600000,-463000000,-244100000,-3600000,40400000,40400000,None,199500000,199500000,None,None,0,None,-24400000,None,-16600000,None,452800000,WEC
2019-12-31,USD,504800000,223600000,None,274300000,74100000,236200000,-1511500000,-262000000,-43400000,244200000,-760400000,271300000,144400000,1900000,1900000,None,186100000,186100000,None,None,575000000,None,-1000000,None,363100000,None,363100000,WEC
2019-09-30,USD,549500000,76300000,None,83700000,41500000,233800000,656300000,92300000,131900000,234300000,-668100000,94500000,-576300000,31900000,31900000,None,186100000,186100000,None,None,970000000,None,-15900000,None,498400000,None,234600000,WEC
2019-06-30,USD,555500000,190700000,None,-128100000,236400000,229900000,496400000,392200000,131300000,235800000,-459800000,-94100000,117500000,35600000,35600000,None,186100000,186100000,None,None,0,None,-18100000,None,515100000,None,236000000,WEC
2019-03-31,USD,735700000,70500000,None,-149700000,-343400000,226400000,358800000,-124300000,-218300000,420400000,-606600000,-186100000,-294900000,70700000,70700000,None,186200000,186200000,None,None,350000000,None,-38100000,None,-57000000,None,420400000,WEC
2018-12-31,USD,437300000,227200000,None,71700000,62500000,217700000,-1429100000,-288600000,-60200000,206200000,-664400000,333000000,-348200000,30400000,30400000,None,174300000,174300000,None,None,1140000000,None,-15200000,None,289800000,None,289800000,WEC
2018-09-30,USD,494800000,66600000,None,56200000,107300000,212800000,575000000,76600000,141600000,232600000,-723200000,216600000,418300000,22200000,22200000,None,174300000,174300000,None,None,0,None,-13400000,None,474100000,None,233500000,WEC
2018-06-30,USD,619400000,151500000,None,-42600000,3500000,206700000,475900000,295600000,90400000,231300000,-561000000,-78100000,169700000,4000000,4000000,None,174500000,174500000,None,None,600000000,None,-1000000,None,488700000,None,231300000,WEC
2018-03-31,USD,894000000,73800000,None,-42300000,-244300000,208600000,439600000,-60100000,-163000000,390400000,-435800000,-445100000,-244300000,15800000,15800000,None,174200000,174200000,None,None,0,None,-13700000,None,13100000,None,390400000,WEC
2017-12-31,USD,332900000,160600000,None,258100000,-50700000,205100000,-1309200000,-396900000,-133400000,433800000,-688300000,375500000,451100000,10700000,10700000,None,164100000,164100000,None,None,225000000,None,-5500000,None,20800000,None,412100000,WEC
2017-09-30,USD,478800000,164300000,None,7900000,119700000,201200000,519200000,63200000,162000000,214800000,-529600000,31000000,218700000,20900000,20900000,None,164100000,164100000,None,None,0,None,-10900000,None,-18400000,None,215700000,WEC
2017-06-30,USD,552300000,152700000,None,26200000,2600000,197700000,460300000,192300000,92600000,199400000,-703100000,135700000,104400000,19500000,19500000,None,164200000,164200000,None,None,0,None,-9800000,None,-9200000,None,199400000,WEC
2017-03-31,USD,714600000,56600000,None,-121900000,-204700000,194600000,329700000,7000000,-170500000,356900000,-333100000,-380800000,-189800000,20200000,20200000,None,164100000,164100000,None,None,0,None,-14300000,None,8200000,None,356900000,WEC
2016-12-31,USD,381900000,151200000,None,201200000,-80800000,193100000,-1000100000,-365900000,-66200000,361700000,-512600000,59400000,70800000,2400000,2400000,None,156300000,156300000,None,None,200000000,None,-1200000,None,12500000,None,361700000,WEC
2021-09-30,USD,-4810000000,1062000000,None,4189000000,9063000000,61000000,None,None,None,5405000000,-7021000000,4345000000,-3655000000,5291000000,5291000000,None,1046000000,808000000,238000000,100000000,18000000,1227000000,-3964000000,None,5405000000,None,5122000000,WFC
2021-06-30,USD,-8062000000,1254000000,None,-262000000,14359000000,33000000,None,None,None,6744000000,15276000000,-19774000000,-13285000000,1565000000,1565000000,None,765000000,412000000,353000000,48000000,1015000000,0,-1517000000,None,6744000000,None,6040000000,WFC
2021-03-31,USD,-3470000000,1091000000,None,-1310000000,520000000,151000000,None,None,None,4796000000,15528000000,10063000000,-79000000,596000000,596000000,None,659000000,383000000,276000000,66000000,110000000,4529000000,3999000000,None,22121000000,None,4742000000,WFC
2020-12-31,USD,-22765000000,-1045000000,None,4752000000,19575000000,160000000,None,None,None,3194000000,20512000000,20095000000,3775000000,3000000,3000000,None,778000000,398000000,380000000,58000000,235000000,1148000000,1203000000,None,17842000000,None,2992000000,WFC
2020-09-30,USD,-8576000000,1660000000,None,-245000000,-18222000000,74000000,None,None,None,3401000000,42658000000,-49815000000,-5261000000,3000000,3000000,None,655000000,399000000,256000000,59000000,237000000,0,56000000,None,2219000000,None,3216000000,WFC
2020-06-30,USD,16119000000,4113000000,None,-3920000000,-21106000000,122000000,None,None,None,-3798000000,103687000000,-8112000000,-31804000000,2000000,2000000,None,2397000000,2023000000,374000000,245000000,18769000000,0,243000000,None,-2332000000,None,-3846000000,WFC
2020-03-31,USD,17273000000,3686000000,None,933000000,-7843000000,89000000,500000000,None,None,505000000,-44303000000,36589000000,-12223000000,3407000000,3407000000,None,2312000000,2032000000,280000000,209000000,18895000000,1968000000,-1230000000,None,9559000000,None,653000000,WFC
2019-12-31,USD,12423000000,6638000000,None,1476000000,-14759000000,97000000,674000000,None,None,2924000000,-2526000000,-17378000000,-19396000000,7367000000,7367000000,None,2466000000,2080000000,386000000,24000000,13161000000,0,-7343000000,None,-7481000000,None,2873000000,WFC
2019-09-30,USD,-12975000000,7883000000,None,8073000000,13886000000,95000000,587000000,None,None,4812000000,-7381000000,4660000000,8564000000,7448000000,7448000000,None,2458000000,2164000000,294000000,114000000,7129000000,0,-7334000000,None,4812000000,None,4610000000,WFC
2019-06-30,USD,-669000000,7343000000,None,-6579000000,-12630000000,96000000,698000000,None,None,6338000000,-10698000000,26826000000,8747000000,4898000000,4898000000,None,2374000000,1957000000,417000000,61000000,15753000000,0,-4837000000,None,6338000000,None,6206000000,WFC
2019-03-31,USD,7951000000,4527000000,None,-541000000,-9139000000,94000000,707000000,None,None,5967000000,-9026000000,-23244000000,810000000,4820000000,4820000000,None,2291000000,1997000000,294000000,181000000,17338000000,0,-4639000000,None,-12758000000,None,5860000000,WFC
2018-12-31,USD,15034000000,4314000000,None,-1974000000,-9012000000,332000000,811000000,None,None,6154000000,-18245000000,16975000000,336000000,7299000000,7299000000,None,2373000000,1962000000,411000000,84000000,16198000000,0,-7215000000,None,30465000000,None,6064000000,WFC
2018-09-30,USD,-23796000000,3998000000,None,589000000,-10232000000,332000000,827000000,None,None,6086000000,-220000000,-10364000000,955000000,7382000000,7382000000,None,2347000000,2008000000,339000000,102000000,10089000000,0,-7280000000,None,6086000000,None,6007000000,WFC
2018-06-30,USD,5309000000,4871000000,None,-3236000000,-10551000000,330000000,1019000000,None,None,5309000000,550000000,-38647000000,6405000000,2923000000,2923000000,None,2309000000,1855000000,454000000,64000000,5791000000,0,-2859000000,None,5309000000,None,5186000000,WFC
2018-03-31,USD,36058000000,3160000000,None,3756000000,-14074000000,330000000,935000000,None,None,5327000000,10161000000,-38943000000,-5165000000,3029000000,3029000000,None,2285000000,1867000000,418000000,382000000,15517000000,0,-2647000000,None,7276000000,None,5136000000,WFC
2017-12-31,USD,-19031000000,4494000000,None,2462000000,5071000000,353000000,1023000000,None,None,6410000000,-22466000000,18397000000,9365000000,2845000000,2845000000,None,2278000000,1875000000,403000000,306000000,5217000000,0,-2539000000,None,4161000000,None,6151000000,WFC
2017-09-30,USD,4654000000,4453000000,None,3027000000,-797000000,353000000,1201000000,None,None,4654000000,-3286000000,-7278000000,-1459000000,2601000000,2601000000,None,2309000000,1890000000,419000000,183000000,10368000000,0,-2418000000,None,-1042000000,None,4542000000,WFC
2017-06-30,USD,5848000000,4921000000,None,-271000000,2307000000,353000000,1455000000,None,None,5848000000,41873000000,-37090000000,7178000000,2287000000,2287000000,None,2255000000,1856000000,399000000,150000000,15015000000,677000000,-1460000000,None,550000000,None,5856000000,WFC
2017-03-31,USD,21476000000,1827000000,None,-381000000,-3973000000,356000000,1519000000,None,None,5548000000,-29273000000,15051000000,-1064000000,2175000000,2175000000,None,2267000000,1859000000,408000000,572000000,12975000000,0,-1603000000,None,-1031000000,None,5634000000,WFC
2016-12-31,USD,154612000000,-141003000000,None,-1940000000,-150290000000,368000000,1751000000,None,None,5304000000,-12931000000,9691000000,-28080000000,2034000000,2034000000,None,2256000000,1863000000,393000000,391000000,22434000000,0,-1643000000,None,1442000000,None,5274000000,WFC
2021-09-30,USD,353082000,119840000,None,79355000,69537000,267754000,1993946000,None,None,190336000,-1783338000,987033000,0,None,None,None,260792000,261560000,None,1000000000,2693000,None,1000000000,None,190336000,None,179663000,WELL
2021-06-30,USD,335255000,85347000,None,22975000,12690000,240885000,499296000,None,None,45757000,-1065994000,-1020017000,0,None,None,None,254750000,255472000,None,366464000,494334000,None,0,None,45757000,None,26257000,WELL
2021-03-31,USD,303658000,135947000,None,-4406000,1579000,248623000,670980000,None,None,72192000,-139140000,371903000,0,None,0,0,254915000,254952000,None,0,713907000,0,0,None,536421000,None,71546000,WELL
2020-12-31,USD,255172000,158505000,None,-17679000,53834000,246333000,695249000,None,None,155278000,18183000,-414663000,0,None,0,0,256072000,254830000,None,0,17134000,0,0,None,1113016000,None,1113016000,WELL
2020-09-30,USD,297968000,134498000,None,18095000,55622000,255532000,132615000,None,None,394978000,1187565000,-1161886000,0,None,0,0,253268000,254510000,None,0,0,0,0,None,394978000,None,325585000,WELL
2020-06-30,USD,399759000,87416000,None,52378000,-11589000,265371000,136198000,None,None,159216000,992432000,39986000,-844985000,None,0,0,256169000,254846000,None,4312000,1588549000,0,-3332000,None,159216000,None,179246000,WELL
2020-03-31,USD,411857000,140216000,None,-30030000,-43284000,278021000,719953000,None,None,329380000,149748000,-544295000,-742612000,None,0,0,354678000,356001000,None,591001000,44921000,0,591001000,None,17310000,None,310284000,WELL
2019-12-31,USD,326068000,174234000,None,-29913000,55163000,262644000,1607227000,None,None,240136000,-990466000,709683000,253011000,None,0,0,357009000,353290000,None,370020000,745885000,0,370020000,None,1262822000,None,1262822000,WELL
2019-09-30,USD,355418000,163809000,None,-54570000,4938000,272445000,285960000,None,None,647932000,1473039000,-1853337000,-534602000,None,0,0,349531000,353250000,0,38949000,1239437000,0,38949000,None,647932000,None,589876000,WELL
2019-06-30,USD,510587000,104227000,None,82783000,-21931000,248052000,2481198000,None,None,150040000,-2728632000,2173009000,1449895000,None,0,0,353677000,353677000,0,113613000,1048806000,0,114029000,None,157702000,None,137762000,WELL
